institution,sector,ticker,company,market_value_billions,position_change_qoq_pct,shares_change_qoq_pct,flow_status,report_date
JPMorgan Chase,Technology,MSFT,Microsoft,18.5,8.2,6.5,Accumulating,2026-Q1
JPMorgan Chase,Technology,NVDA,Nvidia,13.1,11.4,9.8,Accumulating,2026-Q1
JPMorgan Chase,Financials,V,Visa,8.7,2.1,1.4,Slight Accumulating,2026-Q1
JPMorgan Chase,Healthcare,LLY,Eli Lilly,7.2,-3.4,-2.8,Reducing,2026-Q1
Bank of America,Technology,AAPL,Apple,19.3,-2.2,-1.7,Reducing,2026-Q1
Bank of America,Technology,GOOGL,Alphabet,10.9,4.7,3.9,Accumulating,2026-Q1
Bank of America,Financials,MA,Mastercard,7.6,2.4,1.8,Slight Accumulating,2026-Q1
Bank of America,Healthcare,UNH,UnitedHealth,6.3,-7.1,-5.9,Reducing,2026-Q1
Citigroup,Technology,META,Meta Platforms,9.8,6.9,5.4,Accumulating,2026-Q1
Citigroup,Technology,ORCL,Oracle,5.1,3.2,2.6,Slight Accumulating,2026-Q1
Citigroup,Energy,XOM,Exxon Mobil,4.4,-4.6,-3.7,Reducing,2026-Q1
Blackstone,Technology,NVDA,Nvidia,4.9,14.2,12.1,Accumulating,2026-Q1
Blackstone,Real Estate,PLD,Prologis,3.8,-1.5,-0.9,Neutral,2026-Q1
Blackstone,Financials,BX,Blackstone,2.9,5.7,4.4,Accumulating,2026-Q1
Apollo Global Management,Financials,APO,Apollo Global Management,3.3,6.1,4.9,Accumulating,2026-Q1
Apollo Global Management,Industrials,GE,GE Aerospace,2.7,3.4,2.8,Slight Accumulating,2026-Q1
Apollo Global Management,Technology,AVGO,Broadcom,2.4,8.8,7.5,Accumulating,2026-Q1
KKR,Technology,MSFT,Microsoft,3.7,5.2,4.6,Accumulating,2026-Q1
KKR,Industrials,CAT,Caterpillar,2.5,4.1,3.3,Slight Accumulating,2026-Q1
KKR,Financials,KKR,KKR,2.8,7.9,6.8,Accumulating,2026-Q1
KKR,Consumer Discretionary,AMZN,Amazon,3.1,9.6,8.1,Accumulating,2026-Q1
Ares Management,Financials,ARES,Ares Management,2.2,6.5,5.3,Accumulating,2026-Q1
Ares Management,Technology,NVDA,Nvidia,1.7,12.8,10.2,Accumulating,2026-Q1
Ares Management,Industrials,RTX,RTX,1.3,-1.8,-1.1,Neutral,2026-Q1
Brookfield Asset Management,Utilities,NEE,NextEra Energy,2.6,-2.6,-1.9,Reducing,2026-Q1
Brookfield Asset Management,Energy,ENB,Enbridge,2.3,3.9,3.1,Slight Accumulating,2026-Q1
Brookfield Asset Management,Real Estate,BAM,Brookfield Asset Management,2.8,5.5,4.7,Accumulating,2026-Q1
The Carlyle Group,Industrials,BA,Boeing,1.8,-6.8,-5.2,Reducing,2026-Q1
The Carlyle Group,Technology,AMD,Advanced Micro Devices,1.5,7.2,6.1,Accumulating,2026-Q1
TPG,Technology,NVDA,Nvidia,1.2,10.5,8.7,Accumulating,2026-Q1
TPG,Consumer Discretionary,TSLA,Tesla,1.0,4.9,3.6,Accumulating,2026-Q1
Blue Owl Capital,Financials,OWL,Blue Owl Capital,1.4,8.3,7.2,Accumulating,2026-Q1
Blue Owl Capital,Technology,MSFT,Microsoft,0.9,2.6,2.1,Slight Accumulating,2026-Q1
Bridgewater Associates,Technology,MSFT,Microsoft,2.1,4.4,3.5,Slight Accumulating,2026-Q1
Bridgewater Associates,Consumer Staples,PG,Procter & Gamble,1.8,1.2,0.7,Neutral,2026-Q1
Renaissance Technologies,Technology,NVDA,Nvidia,2.4,15.5,13.2,Accumulating,2026-Q1
Renaissance Technologies,Technology,AVGO,Broadcom,1.7,9.7,8.3,Accumulating,2026-Q1
Citadel Advisors,Technology,META,Meta Platforms,3.2,7.7,6.1,Accumulating,2026-Q1
Citadel Advisors,Technology,NVDA,Nvidia,2.8,11.9,10.4,Accumulating,2026-Q1
Millennium Management,Technology,AAPL,Apple,2.0,-4.2,-3.4,Reducing,2026-Q1
Millennium Management,Technology,MSFT,Microsoft,2.3,6.5,5.2,Accumulating,2026-Q1
Two Sigma,Technology,NVDA,Nvidia,1.5,13.4,11.0,Accumulating,2026-Q1
Two Sigma,Consumer Discretionary,AMZN,Amazon,1.1,6.2,5.0,Accumulating,2026-Q1
